"pchids" "biosyn_class" "organism_name" "mibig_accession" "ncbi_tax_id" "compounds.chem_struct" "compounds.compound" "compounds.molecular_formula"
"71455791" "Polyketide" "Verrucosispora maris AB-18-032" "BGC0000001" 263358 "CC1C[C@]23OC(=O)C4=C2OC1C(O)C3\C=C/C(=O)[C@@H](C)C[C@@H](C)C4=O" "abyssomicin C" "C19H22O6"
NA "Polyketide" "Verrucosispora maris AB-18-032" "BGC0000001" 263358 "CC1CC23OC(=O)C4=C2OC1C(O)C3\C=C/C(=O)C(C)CC(C)C4=O" "atrop-abyssomicin C" "C19H22O6"
"6449919" "Polyketide" "Kutzneria albida DSM 43870" "BGC0000002" 1449976 "CCCC(O[C@H]1C[C@](C)(N)[C@H](O)[C@H](C)O1)C(C)C(O)C(CC)\C=C\C(O)C(C)C1C\C=C(C)\C(O)C(C)C(CC(O)C(C)C(O)CC2CC(O)C(O)C(O)(CC(O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O[C@H]4C[C@@H](N)[C@H](O)[C@@H](C)O4)[C@H]3O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@H]3O)C(C)CCC(O)CC(O)C\C=C(CC)\C(=O)O1)O2)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O" "aculeximycin" "C81H144N2O33"
"6442850" "Polyketide" "Alternaria alternata" "BGC0000003" 5599 "CCC(C)C(C(=O)OC(/C=C/C=C/C=C/C(=O)O)C1(CO1)C)OC(=O)C(C(C)(C)O)O" "AF-toxin" "C22H32O9"
"14421" "Polyketide" "Aspergillus parasiticus" "BGC0000005" 5067 "COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1" "aflatoxin" "C17H12O7"
"14421" "Polyketide" "Aspergillus flavus" "BGC0000006" 5059 "COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1" "aflatoxin" "C17H12O7"
"14421" "Polyketide" "Aspergillus flavus" "BGC0000007" 5059 "COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1" "aflatoxin" "C17H12O7"
"14421" "Polyketide" "Aspergillus flavus" "BGC0000008" 5059 "COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1" "aflatoxin" "C17H12O7"
"14421" "Polyketide" "Aspergillus nomius" "BGC0000009" 41061 "COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1" "aflatoxin" "C17H12O7"
"14421" "Polyketide" "Aspergillus flavus" "BGC0000010" 5059 "COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1" "aflatoxin" "C17H12O7"
"5280389" "Polyketide" "Aspergillus ochraceoroseus" "BGC0000011" 138278 "[H][C@]12OC=C[C@@]1([H])C1=C(O2)C=C(OC)C2=C1OC1=C(C(O)=CC=C1)C2=O" "sterigmatocystin" "C18H12O6"
"57467994" "Polyketide" "Alternaria solani" "BGC0000012" 48100 "CCC(C)/C=C(\C)/CCCC(C)/C=C(\C)/C=C(\C)/CC(C)C1=C(C(=C(C(=O)O1)C)O)C" "alternapyrone" "C28H44O3"
"5359485" "Polyketide" "Aspergillus nidulans FGSC A4" "BGC0000013" 227321 "CC1=CC(=CC2=C1C3=CC(=CC(=C3C(=O)O2)O)O)O" "alternariol" "C14H10O5"
"6918547" "Polyketide" "Sorangium cellulosum" "BGC0000014" 56 "CC[C@@H]1C(=CC[C@@H](O1)/C(=C/[C@H](C)/C=C/[C@H]2[C@H]([C@@H]2/C=C/[C@H]3[C@@H]([C@H](C[C@H](O3)CC(=O)O)O)O)C)/C)C" "ambruticin" "C28H42O6"
"5386092" "Other" "Streptomyces nodosus" "BGC0000016" 40318 "C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O" "amphotericin B" "C47H73NO17"
"3034748" "PolyketideAlkaloid" "[Oscillatoria] sp. PCC 6506" "BGC0000017" 272129 "CC(=O)C1=CCC[C@@H]2CC[C@H]1N2" "anatoxin-a" "C10H15NO"
"126727" "PolyketideAlkaloid" "[Oscillatoria] sp. PCC 6506" "BGC0000017" 272129 "CCC(=O)C1=CCC[C@@H]2CC[C@H]1N2" "homoanatoxin-a" "C11H17NO"
"6438267" "Polyketide" "Streptomyces eurythermus" "BGC0000018" 42237 "CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3CC(C(C(O3)C)OC4CC(C(C(O4)C)O)(C)O)N(C)C)CC=O)C)C)COC5C(C(C(C(O5)C)O)OC)OC" "angolamycin" "C46H77NO17"
"6438267" "Polyketide" "Streptomyces eurythermus" "BGC0000019" 42237 "CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3CC(C(C(O3)C)OC4CC(C(C(O4)C)O)(C)O)N(C)C)CC=O)C)C)COC5C(C(C(C(O5)C)O)OC)OC" "angolamycin" "C46H77NO17"
"5281828" "Polyketide" "Actinosynnema pretiosum subsp. auranticum" "BGC0000020" 42198 "C[C@@H]1[C@@H]2C[C@]([C@@H](/C=C/C=C(/CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)C[C@@H]([C@]4([C@H]1O4)C)OC(=O)[C@H](C)N(C)C(=O)C)C)\C)OC)(NC(=O)O2)O" "maytansine" "C34H46ClN3O10"
NA "Polyketide" "Actinosynnema pretiosum subsp. auranticum" "BGC0000020" 42198 "C[C@@H]1[C@@H]2C[C@]([C@@H](/C=C/C=C(/CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)C[C@@H]([C@]4([C@H]1O4)C)OC(=O)C(C)C)C)\C)OC)(NC(=O)O2)O" "ansamitocin P-3" "C32H43ClN2O9"
"44403674" "Polyketide" "Nocardiopsis sp. FU 40" "BGC0000021" 1090954 "COC[C@@H](C[C@H]1O[C@@](O)([C@H](O)[C@@H]2C[C@H](OC)[C@@H](O)CC\C=C(/C)\C=C\[C@@H](O[C@@H]3O[C@@H](C)[C@H](OC)[C@@H](O)[C@@H]3O)[C@H](C)\C=C(/C)\C=C(/C)\C=C(C)\C(=O)O2)[C@H](C)[C@@H](O)[C@H]1C)O[C@H]1C[C@](C)(O)[C@@H](O[C@H]2C[C@@H](OC)[C@H](O)[C@@H](C)O2)[C@H](C)O1" "apoptolidin" "C58H96O21"
"6436188" "Polyketide" "Streptomyces thioluteus" "BGC0000024" 66431 "CC1=C(OC(=C(C1=O)C)OC)[C@H]2CC/C(=C/C(=C/C3=CC=C(C=C3)[N+](=O)[O-])/C)/O2" "aureothin" "C22H23NO6"
"6858006" "Polyketide" "Streptomyces avermitilis" "BGC0000025" 33903 "CCC(C)[C@@H]1[C@H](C=C[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C" "avermectin" "C48H72O14"
"122779" "Saccharide" "Streptomyces viridochromogenes Tue57" "BGC0000026" 1160705 "C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2[C@H](OC3(C[C@@H]2O)O[C@@H]4[C@H](O[C@H](C[C@]4(O3)C)O[C@@H]5[C@H]([C@@H](O[C@@H]([C@@H]5OC)C)O[C@@H]6[C@H](O[C@H]([C@H]([C@H]6O)OC)O[C@H]7[C@@H]([C@H]8[C@H](CO7)O[C@@]9(O8)C1C([C@@]([C@H](O9)C)(C(=O)C)O)OCO1)OC(=O)C(C)C)COC)O)C)C)O)OC(=O)C1=C(C(=C(C(=C1OC)Cl)O)Cl)C" "avilamycin A" "C61H88Cl2O32"
"20055307" "Saccharide" "Streptomyces viridochromogenes Tue57" "BGC0000026" 1160705 "C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2[C@H](OC3(C[C@H]2O)O[C@@H]4[C@H](O[C@H](C[C@]4(O3)C)O[C@@H]5[C@H]([C@@H](O[C@@H]([C@@H]5OC)C)O[C@@H]6[C@H](O[C@H]([C@H]([C@H]6O)OC)O[C@H]7[C@@H]([C@H]8[C@H](CO7)O[C@@]9(O8)[C@H]1[C@H]([C@@]([C@H](O9)C)(C(C)O)O)OCO1)OC(=O)C(C)C)COC)O)C)C)O)OC(=O)C1=C(C(=C(C(=C1OC)Cl)O)Cl)C" "avilamycin C" "C61H90Cl2O32"
"15294091" "Polyketide" "Monascus pilosus" "BGC0000027" 89488 "CCCCCCCC(=O)C1C2CC3=C(COC(\C=C\C)=C3)C(=O)C2(C)OC1=O" "ankaflavin" "C23H30O5"
"12118082" "Polyketide" "Monascus pilosus" "BGC0000027" 89488 "[H]\C(C)=C(\[H])C1=CC2=C(CO1)C(=O)[C@]1(C)OC(=O)[C@H](C(=O)CCCCC)[C@@]1([H])C2" "monascin" "C21H26O5"
NA "Polyketide" "Monascus pilosus" "BGC0000027" 89488 "CCCCCC(=O)C1=C2C=C3C=C(OC=C3C(=O)[C@]2(C)OC1=O)\C=C\C" "rubropunctatine" "C21H22O5"
"12118084" "Polyketide" "Monascus pilosus" "BGC0000027" 89488 "CCCCCCCC(=O)C1=C2C=C3C=C(OC=C3C(=O)[C@]2(C)OC1=O)\C=C\C" "monascorubrin" "C23H26O5"
"6439426" "Polyketide" "Streptomyces sp. DSM 21069" "BGC0000029" 639005 "CCC\C=C\CC1C\C=C\C=C(/C)\C=C\C=C/C(O)C(O)\C=C(/C)\C=C\C=C\C(=O)N1" "BE-14106" "C27H37NO3"
"5281730" "Polyketide" "Fusarium fujikuroi IMI 58289" "BGC0000030" 1279085 "CC1=CC(=CC2=C1C(=O)C3=C(O2)C(=C4C(=C3O)C(=O)C=C(C4=O)OC)O)OC" "bikaverin" "C20H14O8"
"6438329" "Polyketide" "Micromonospora echinospora" "BGC0000033" 1877 "CCN[C@H]1CO[C@H](C[C@@H]1OC)O[C@@H]2[C@H]([C@@H]([C@H](OC2O[C@H]3C#C/C=C\C#C[C@]\4(CC(=O)C(=C3/C4=C\CSSSC)NC(=O)OC)O)C)NO[C@H]5C[C@@H]([C@@H]([C@H](O5)C)SC(=O)C6=C(C(=C(C(=C6OC)OC)O[C@H]7[C@@H]([C@@H]([C@H]([C@@H](O7)C)O)OC)O)I)C)O)O" "calicheamicin" "C55H74IN3O21S4"
"6445669" "Polyketide" "Streptomyces sp. FR-008" "BGC0000034" 206662 "CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(CC(C(C(CC(=O)CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(CC(=O)C2=CC=C(C=C2)N)O)O)O)O)O)C(=O)O)O)OC3C(C(C(C(O3)C)O)N)O" "candicidin" "C59H84N2O18"
"442849" "Polyketide" "Aspergillus nidulans FGSC A4" "BGC0000037" 227321 "CC1=C(C=C2C(=C1OC)CNC2=O)O" "cichorine" "C10H11NO3"
"64715" "Polyketide" "Penicillium citrinum" "BGC0000039" 5077 "CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)[C@@H]12" "compactin" "C23H36O6"
"6917059" "Polyketide" "Streptomyces neyagawaensis" "BGC0000040" 42238 "[H][C@@]1(OC(=O)\C(OC)=C\C(\C)=C\[C@@H](C)[C@@H](O)[C@@H](CC)[C@@H](O)[C@H](C)C\C(C)=C\C=C\[C@@H]1OC)[C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](O[C@H]2C[C@@H](O)[C@H](OC(N)=O)[C@@H](C)O2)[C@H](C)[C@H](O1)\C=C\C" "concanamycin A" "C46H75NO14"
"6449106" "Polyketide" "Streptomyces sp. MJ635-86F5" "BGC0000042" 1321967 "CCCCCCC1CC(=O)CCCC(O)C\C(O)=C2/C(CC(O[C@H]3C[C@H](OC)[C@H](O)[C@@H](C)O3)C2=O)\C=C(/C)\C=C/C=C\C(=O)N1" "cremimycin" "C35H53NO9"
"6438908" "Polyketide" "Moorea producens 19L" "BGC0000043" 276768 "CO[C@H](CC\C(C)=C\C=C\CC\C=C/[C@H]1CSC(=N1)[C@@H]1C[C@@H]1C)CC=C" "curacin A" "C23H35NOS"
"6438143" "Polyketide" "Aspergillus terreus" "BGC0000045" 33178 "CC1CCC\C=C\C(=O)C2=C(O)C=C(O)C=C2CC(=O)O1" "dehydrocurvularin" "C16H18O5"
"6438725" "Polyketide" "Alternaria brassicicola" "BGC0000046" 29001 "C[C@@H](O)[C@@H]1O[C@H]1\C=C\[C@@H]1O[C@H]1[C@H](O)C=C" "depudecin" "C11H16O4"
"102274629" "Polyketide" "Streptomyces sp. KCTC 0041BP" "BGC0000047" 201500 "C[C@H]1C[C@H](C(=O)CCCC[C@H]([C@H](OC(=O)/C=C/[C@@H]([C@H]1O[C@H]2[C@@H]([C@H](C[C@H](O2)C)OC)O)C)C)O[C@H]3[C@@H]([C@@H]([C@@H]([C@H](O3)C)O)OC)OC)C" "10,11-dihydro-8-deoxy-12,13-deepoxy-12,13-dihydrochalcomycin" "C34H58O12"
"108014" "Polyketide" "Dothistroma septosporum" "BGC0000048" 64363 "C1[C@@H](O[C@H]2[C@@]1(C3=C(O2)C=C4C(=C3O)C(=O)C5=C(C=CC(=C5C4=O)O)O)O)O" "dothistromin" "C18H12O9"
"11494615" "Polyketide" "Streptomyces aculeolatus" "BGC0000050" 270689 "C\C=C(/C)C(O)C(C)\C=C\C=C(/C)CCC(O)CC1=C(C)C(=O)C(C)(O)O1" "E-837" "C22H34O5"
"6436820" "Polyketide" "Kitasatospora aburaviensis" "BGC0000051" 67265 "CC[C@@H](C)[C@H]([C@H](C)C(=O)[C@H](C)/C=C(\C)/C[C@H](C)[C@H]1[C@@H](C(=O)O1)C)O" "ebelactone A" "C20H34O4"
"6436821" "Polyketide" "Kitasatospora aburaviensis" "BGC0000051" 67265 "CC[C@H]1[C@@H](OC1=O)[C@@H](C)C/C(=C/[C@@H](C)C(=O)[C@@H](C)[C@@H]([C@H](C)CC)O)/C" "ebelactone B" "C21H36O4"
"23724554" "Polyketide" "Streptomyces aizunensis" "BGC0000052" 255848 "C[C@H](\C=C\CC\C=C\C=C\C=C\C=C\C(=O)NC1=C(O)CCC1=O)C(O)[C@@H](C)C(O)\C=C\C=C\C=C\C=C\C=C\CC(OC1OC(C)C(O)C(O)C1O)C(C)C(=O)CC(O)CC(O)CC(O)\C=C\CC(O)CC(O)CC(O)CC(O)\C=C\CC(O)CC(O)CCCN" "ECO-02301" "C70H108N2O20"
"6444206" "Polyketide" "Unknown. Unclassified." "BGC0000053" 12908 "CC[C@H]1[C@@H](C[C@](O[C@@H]1C)(O)[C@H]([C@H](O)[C@@H]([C@H]2OC(=O)/C=C/C=C/[C@@H]([C@H](OC(=O)/C=C/C=C/[C@@H]2C)[C@H]([C@@H](O)[C@@H]([C@@]3(O[C@@H]([C@H]([C@@H](C3)O[C@@H]4O[C@H]([C@H]([C@H](C4)O)O)C)CC)C)O)C)C)C)C)C)O[C@@H]5O[C@H]([C@H]([C@H](C5)O)O)C" "elaiophylin" "C54H88O18"
"12560" "Polyketide" "Aeromicrobium erythreum" "BGC0000054" 2041 "CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O" "erythromycin" "C37H67NO13"
"12560" "PolyketideSaccharide" "Saccharopolyspora erythraea NRRL 2338" "BGC0000055" 405948 "CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O" "erythromycin A" "C37H67NO13"
"10702" "PolyketideSaccharide" "Saccharopolyspora erythraea NRRL 2338" "BGC0000055" 405948 "CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C" "erythromycin B" "C37H67NO12"
"441095" "PolyketideSaccharide" "Saccharopolyspora erythraea NRRL 2338" "BGC0000055" 405948 "CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O" "erythromycin C" "C36H65NO13"
"24755489" "PolyketideSaccharide" "Saccharopolyspora erythraea NRRL 2338" "BGC0000055" 405948 "CC[C@@H]1[C@@H]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)O)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)C" "erythromycin D" "C36H65NO12"
"71308195" "Polyketide" "Actinomadura verrucosospora" "BGC0000056" 46165 "CC1C(C(C(C(O1)OC2C#C/C=C/C#CC\3(C(C(=O)C(=C2/C3=C/CSSSC)NC(=O)OC)OC4CC(C(C(O4)C)O)OC(=O)C5=CC(=C(C=C5NC(=O)C(=C)OC)OC)OC)O)OC6CC(C(CO6)NC(C)C)OC)O)NOC7CC(C(C(O7)C)SC)O" "esperamicin" "C59H80N4O22S4"
"9843671" "Polyketide" "Aspergillus nidulans FGSC A4" "BGC0000057" 227321 "CC1=CC2=C(C(=C1)O)OC3=C(O2)C4(C5C(=CC(=O)C5(C(=O)C4=C(C3=O)O)O)C)C" "F9775A" "C21H16O8"
"25235989" "Polyketide" "Aspergillus nidulans FGSC A4" "BGC0000057" 227321 "CC1=CC2=C(C(=C1)O)OC3=C(O2)C(=O)C(=C4C3(C5C(=CC(=O)C5(C4=O)O)C)C)O" "F9775B" "C21H16O8"
"68072" "Polyketide" "Aspergillus nidulans FGSC A4" "BGC0000057" 227321 "CC1=CC(=CC(=C1C(=O)O)O)O" "orsellinic acid" "C8H8O4"
"6444177" "Polyketide" "Streptomyces graminofaciens" "BGC0000058" 68212 "[H][C@]12O[C@@H]1[C@H](O)[C@H](C)\C=C(/C)\C=C(C)\C(=O)O[C@@]([H])(C\C=C\C=C\C[C@H]2O)[C@@H](C)CCC(O)C(C)C(O)C(C)C(C)OC" "FD-891" "C33H54O8"
"6433194" "Polyketide" "Streptomyces avermitilis MA-4680 = NBRC 14893" "BGC0000059" 227882 "CCCCC[C@H]([C@@H]1[C@H](C[C@H](C[C@H](C[C@H](C[C@H](C[C@H](C[C@@H](/C(=C/C=C/C=C/C=C/C=C/[C@@H]([C@H](OC1=O)C)O)/C)O)O)O)O)O)O)O)O" "filipin" "C35H58O11"
"6436285" "Polyketide" "Streptomyces pulveraceus" "BGC0000060" 68258 "C[C@@](/C=C/[C@@H]1CC=CC(=O)O1)([C@@H](C[C@H](/C=C\C=C/C=C/CO)O)OP(=O)(O)O)O" "fostriecin" "C19H27O9P"
"118984420" "Polyketide" "Streptomyces sp. FR-008" "BGC0000061" 206662 "C[C@H]1/C=C/C=C/C=C\C=C/C=C/C=C/C=C/[C@@H](C[C@@H]([C@@H]([C@H](CC(=O)C[C@H](C[C@H](C[C@H](CC(=O)CCCC(CC(=O)O[C@@H]1[C@@H](C)C[C@H](C)[C@H](CC(=O)C2=CC=C(C=C2)N)O)O)O)O)O)O)C(=O)O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O" "levorin A3" "C59H86N2O18"
"11953885" "Polyketide" "Streptomyces sp. FR-008" "BGC0000061" 206662 "C[C@@H]1[C@H]([C@@H]([C@@H](C(O1)OC\2CC3C(C(CC(O3)(CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC(C(/C=C/C=C/C=C/C=C/C=C/C=C/C=C2)C)C(C)CC(C)C(CC(=O)C4=CC=C(C=C4)N)O)O)O)O)O)O)C(=O)O)O)N)O" "C06690" "C59H84N2O18"
"101492346" "Polyketide" "Streptomyces sp. FR-008" "BGC0000061" 206662 "C[C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)OC/2CC3C(C(CC(O3)(CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC(C(/C=C\C=C/C=C\C=C/C=C\C=C/C=C2)C)C(C)CC(C)C(CC(=O)C4=CC=C(C=C4)N)O)O)O)O)O)O)C(=O)O)O)N)O" "FR-008-III" "C59H84N2O18"
"441142" "Polyketide" "Streptomyces sp. FR-008" "BGC0000061" 206662 "C[C@@H]1[C@H]([C@@H]([C@@H](C(O1)OC2CC3C(C(CC(O3)(CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC(C(C=CC=CC=CC=CC=CC=CC=C2)C)C(C)CC(C)C(CC(=O)C4=CC=C(C=C4)N)O)O)O)O)O)O)C(=O)O)O)N)O" "candicidin A" "C59H84N2O18"
"76965088" "Polyketide" "Streptomyces sp. FR-008" "BGC0000061" 206662 "C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@@H]([C@@H]([C@H](CC(=O)CCC[C@H](CCCC(=O)CC(CC(=O)CC(=O)O[C@@H]1[C@@H](C)C[C@H](C)[C@H](CC(=O)C2=CC=C(C=C2)N)O)O)O)O)C(=O)O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O" "UNII-AP5PEF5W7U" "C59H84N2O17"
"3431" "Polyketide" "Fusarium oxysporum" "BGC0000063" 5507 "CCCCC(C)C(C(CC(C)CC(CCCCC(CC(C(C)N)O)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O" "fumonisin" "C34H59NO15"
"15942871" "Polyketide" "Fusarium verticillioides" "BGC0000064" 117187 "C/C=C(/C)\C=C(/C)\C=C(/C)\C=C\C=C(/C)\C(=O)[C@@]12[C@@H](O1)[C@](NC2=O)(CCO)O" "fusarin" "C22H29NO5"
"5288382" "Polyketide" "Streptomyces hygroscopicus" "BGC0000066" 1912 "CO[C@H]1C[C@H](C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](CC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O" "geldanamycin" "C30H42N2O8"
"5288382" "Polyketide" "Streptomyces hygroscopicus subsp. duamyceticus" "BGC0000067" 285527 "C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)/C)OC)OC(=O)N)\C)C)O)OC" "geldanamycin" "C29H40N2O9"
